,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
23,23,23,Avery Bradley 2016,Jonas Jerebko 2016,Marcus Smart 2016,Evan Turner 2016,Tyler Zeller 2016,101.0,1.0,2.9266406249999988,BOS
24,24,24,Avery Bradley 2016,Jae Crowder 2016,Kelly Olynyk 2016,Jared Sullinger 2016,Isaiah Thomas 2016,96.52,22.2,13.678907291666665,BOS
25,25,25,Jae Crowder 2016,Amir Johnson 2016,Marcus Smart 2016,Jared Sullinger 2016,Isaiah Thomas 2016,77.51,6.3,5.563566927083333,BOS
26,26,26,Jae Crowder 2016,Amir Johnson 2016,Kelly Olynyk 2016,Isaiah Thomas 2016,Evan Turner 2016,71.01,-0.6,2.969835156249999,BOS
27,27,27,Avery Bradley 2016,Jae Crowder 2016,Jared Sullinger 2016,Isaiah Thomas 2016,Evan Turner 2016,66.52,20.5,10.412584374999998,BOS
28,28,28,Avery Bradley 2016,Jae Crowder 2016,Marcus Smart 2016,Jared Sullinger 2016,Isaiah Thomas 2016,66.17,0.6,3.526202864583332,BOS
29,29,29,Avery Bradley 2016,Amir Johnson 2016,Marcus Smart 2016,Jared Sullinger 2016,Isaiah Thomas 2016,64.45,-1.8,2.7605768229166663,BOS
30,30,30,Jae Crowder 2016,Amir Johnson 2016,Jared Sullinger 2016,Isaiah Thomas 2016,Evan Turner 2016,56.32,-8.9,0.9685999999999986,BOS
31,31,31,Jae Crowder 2016,Amir Johnson 2016,Marcus Smart 2016,Isaiah Thomas 2016,Evan Turner 2016,55.51,-6.4,1.7503013020833325,BOS
32,32,32,Avery Bradley 2016,Jae Crowder 2016,Amir Johnson 2016,Kelly Olynyk 2016,Isaiah Thomas 2016,52.16,5.8,5.264674999999999,BOS
